instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,20.570922,22.537880,22.537880,22.827564,34.000000,34.000000,0.101507,0.127106,0.101507,0.480142,331,1379,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
1,0,New,4,20.709193,22.605010,22.605010,22.699098,34.000000,34.000000,0.099802,0.112668,0.099802,0.556128,439,1653,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
10,0,New,4,20.695922,22.662880,22.662880,22.755066,34.250000,34.250000,0.100344,0.114825,0.100344,0.563370,453,1612,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
11,0,New,4,20.575577,22.480010,22.480010,22.575996,33.875000,33.875000,0.100304,0.113983,0.100304,0.583606,465,1760,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
12,0,New,4,20.771107,22.776792,22.776792,22.874914,34.250000,34.250000,0.100267,0.114343,0.100267,0.573732,449,1784,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
13,0,New,4,20.445922,22.412880,22.412880,22.500113,34.000000,34.000000,0.101298,0.111449,0.101298,0.586432,477,1748,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
14,0,New,4,20.570922,22.537880,22.537880,22.630066,34.000000,34.000000,0.100185,0.114105,0.100185,0.558539,431,1768,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
15,0,New,4,20.596297,22.537880,22.537880,22.630066,34.000000,34.000000,0.100201,0.112711,0.100201,0.610638,493,1869,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
16,0,New,4,20.570922,22.537880,22.537880,22.630066,34.000000,34.000000,0.100717,0.113075,0.100717,0.615485,487,1860,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
17,0,New,4,20.745731,22.776792,22.776792,22.874914,34.250000,34.250000,0.099038,0.112549,0.099038,0.540391,417,1647,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
