instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,21.483725,34.000000,34.000000,1.547591,1.562606,1.547591,2.329723,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,Farkas,64,26.314624,32.456123,30.350762,27.659033,42.000000,42.000000,0.136226,0.151020,0.136226,1.904172,1670,6337,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,17,1
10,0,Farkas,64,18.276008,24.449785,23.417772,18.303197,29.000000,29.000000,0.134481,0.142862,0.134481,1.077957,816,3356,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,13,1
2,0,Farkas,64,21.775884,28.978479,27.089069,22.141135,35.000000,35.000000,0.135081,0.148302,0.135081,1.333308,1074,4354,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,14,1
3,0,Farkas,64,24.149033,30.752688,28.078106,24.946880,37.000000,37.000000,0.136574,0.148473,0.136574,1.620001,1379,5102,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,13,1
4,0,Farkas,64,17.007102,21.748164,20.516922,17.011451,30.000000,30.000000,0.135972,0.150761,0.135972,0.881299,654,2927,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,15,1
5,0,Farkas,64,17.734946,24.452809,22.092483,17.999159,28.000000,28.000000,0.133123,0.146271,0.133123,0.990958,751,2989,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,16,1
6,0,Farkas,64,18.222770,23.804538,21.872629,18.919723,32.000000,32.000000,0.140815,0.158003,0.140815,1.242598,960,4321,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,15,1
7,0,Farkas,64,20.529117,27.632075,25.571387,21.471155,33.000000,33.000000,0.136200,0.150137,0.136200,1.082805,788,3329,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,13,1
8,0,Farkas,64,14.311218,22.476998,20.712268,14.388701,27.000000,27.000000,0.132622,0.143689,0.132622,0.682530,500,2010,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,7,1
9,0,Farkas,64,24.481534,30.137763,27.093106,25.380115,35.000000,35.000000,0.137816,0.148589,0.137816,0.825405,599,2293,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,15,1
