instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,20.570922,20.570922,20.570922,20.570922,34.000000,34.000000,0.000002,0.000002,0.000002,0.842913,929,3305,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,21.140295,21.140295,21.140295,21.140295,34.000000,34.000000,0.000001,0.000001,0.000001,0.991914,1074,3636,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,20.322024,20.322024,20.322024,20.322024,34.000000,34.000000,0.000002,0.000002,0.000002,0.797921,882,3295,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,20.715783,20.715783,20.715783,20.715783,34.000000,34.000000,0.000002,0.000002,0.000002,0.941627,1045,3491,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,20.832221,20.832221,20.832221,20.832221,34.000000,34.000000,0.000002,0.000002,0.000002,0.722310,792,2918,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,20.470849,20.470849,20.470849,20.470849,34.000000,34.000000,0.000001,0.000001,0.000001,0.425619,439,1814,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,20.583461,20.583461,20.583461,20.583461,34.000000,34.000000,0.000002,0.000002,0.000002,1.175563,1327,4274,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,20.561907,20.561907,20.561907,20.561907,34.000000,34.000000,0.000002,0.000002,0.000002,0.982663,1073,3732,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,20.359593,20.359593,20.359593,20.359593,34.000000,34.000000,0.000002,0.000002,0.000002,1.193389,1322,4288,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,20.470849,20.470849,20.470849,20.470849,34.000000,34.000000,0.000002,0.000002,0.000002,0.518407,530,2116,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,20.570922,20.570922,20.570922,20.570922,34.000000,34.000000,0.000001,0.000001,0.000001,0.708451,744,2838,60.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
