instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.100987,0.100987,0.100987,1.423933,1244,4513,60.000000,4,6,6,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,4,20.786773,22.537880,22.537880,22.537880,34.000000,34.000000,0.008687,0.008687,0.008687,0.976307,880,3517,60.000000,4,6,0,SYMPHONY,1,0,0,0,0,0,0,0,1,1,1
10,0,NoDisjunction,4,20.797545,22.900434,22.662608,22.662608,34.000000,34.000000,0.026539,0.026539,0.026539,1.086470,1008,3655,60.000000,4,6,0,SYMPHONY,1,0,0,0,3,0,0,0,1,1,1
2,0,NoDisjunction,4,20.379856,22.537880,22.245035,22.245035,34.000000,34.000000,0.019906,0.019906,0.019906,0.873781,807,3145,60.000000,4,6,0,SYMPHONY,1,0,0,0,2,0,0,0,1,1,1
3,0,NoDisjunction,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.008910,0.008910,0.008910,1.011270,966,3599,60.000000,4,6,0,SYMPHONY,1,0,0,0,0,0,0,0,1,1,1
4,0,NoDisjunction,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.015649,0.015649,0.015649,0.765627,694,2664,60.000000,4,6,0,SYMPHONY,1,0,0,0,1,0,0,0,1,1,1
5,0,NoDisjunction,4,21.143215,23.213817,22.880106,22.880106,34.000000,34.000000,0.008989,0.008989,0.008989,0.562433,494,2023,60.000000,4,6,0,SYMPHONY,1,0,0,0,0,0,0,0,1,1,1
6,0,NoDisjunction,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.008792,0.008792,0.008792,1.253483,1215,4418,60.000000,4,6,0,SYMPHONY,1,0,0,0,0,0,0,0,1,1,1
7,0,NoDisjunction,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.008712,0.008712,0.008712,0.930758,851,3498,60.000000,4,6,0,SYMPHONY,1,0,0,0,0,0,0,0,1,1,1
8,0,NoDisjunction,4,21.047707,22.900434,22.900434,22.900434,31.000000,31.000000,0.013910,0.013910,0.013910,0.297775,249,1191,60.000000,4,6,0,SYMPHONY,1,0,0,0,1,0,0,0,1,1,1
9,0,NoDisjunction,4,20.570922,22.537880,22.537880,22.537880,34.000000,34.000000,0.013787,0.013787,0.013787,0.672344,587,2763,60.000000,4,6,0,SYMPHONY,1,0,0,0,1,0,0,0,1,1,1
