instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,21.483725,34.000000,34.000000,1.541121,1.556093,1.541121,2.332956,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,NoDisjunction,64,21.074367,26.302593,26.043774,22.428025,31.000000,31.000000,0.464256,0.477485,0.464256,1.022336,477,2018,3600.000000,64,6,0,SYMPHONY,1,3,1,0,57,0,0,0,1,1,1,14,1
10,0,NoDisjunction,64,27.468916,29.660903,27.468916,27.690867,44.000000,44.000000,0.148814,0.161020,0.148814,1.783251,1482,5493,3600.000000,64,6,0,SYMPHONY,1,5,4,1,58,0,0,0,1,1,1,12,1
2,0,NoDisjunction,64,17.729537,17.857143,17.857143,18.902392,27.000000,27.000000,0.485956,0.489742,0.485956,0.936134,390,1286,3600.000000,64,6,0,SYMPHONY,1,0,0,2,60,0,0,0,1,1,1,4,1
3,0,NoDisjunction,64,24.348434,30.405378,30.036640,24.955489,38.000000,38.000000,0.505965,0.519248,0.505965,1.307439,676,3100,3600.000000,64,6,0,SYMPHONY,1,4,3,1,58,0,0,0,1,1,1,15,1
4,0,NoDisjunction,64,25.119702,29.493765,29.219626,26.037340,31.000000,31.000000,0.437244,0.453831,0.437244,0.610475,125,622,3600.000000,64,6,0,SYMPHONY,1,13,11,0,48,0,0,0,1,1,1,21,1
5,0,NoDisjunction,64,24.776456,29.166573,28.837233,25.113685,38.000000,38.000000,0.435536,0.448967,0.435536,1.084005,542,2324,3600.000000,64,6,0,SYMPHONY,1,15,13,0,47,0,0,0,1,1,1,22,1
6,0,NoDisjunction,64,23.342901,26.800302,24.011060,24.836102,38.000000,38.000000,0.153690,0.169218,0.153690,1.556784,1243,4835,3600.000000,64,6,0,SYMPHONY,1,6,4,0,58,0,0,0,1,1,1,16,1
7,0,NoDisjunction,64,20.496612,20.529313,20.529126,20.522607,31.000000,31.000000,0.478182,0.493701,0.478182,1.385230,783,2763,3600.000000,64,6,0,SYMPHONY,1,1,0,1,59,0,0,0,1,1,1,15,1
8,0,NoDisjunction,64,22.160733,27.592704,26.439973,22.500000,34.000000,34.000000,0.406154,0.414865,0.406154,1.464600,935,3401,3600.000000,64,6,0,SYMPHONY,1,9,7,0,49,0,0,0,1,1,1,20,1
9,0,NoDisjunction,64,18.735055,21.943672,21.767502,19.559199,30.000000,30.000000,0.507307,0.520982,0.507307,1.124900,519,1948,3600.000000,64,6,0,SYMPHONY,1,2,2,2,58,0,0,0,1,1,1,21,1
