instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,6108.698687,6116.948687,6114.948687,20356.463782,24163.529064,25687.910000,4.161055,12.875471,2407.586101,3604.165949,20896,5701199,3600.000000,4,12,245,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,New,4,-10167.100313,-10104.713647,-10160.712962,3797.279664,7938.336193,7938.401067,1.715227,10.483232,3210.425010,3210.425308,25498,3902460,3600.000000,4,4,230,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,New,4,-13802.763258,-13742.475758,-13795.867424,278.977231,4540.771533,4540.771533,1.692759,14.879490,1690.363201,2411.419529,22172,3543886,3600.000000,4,2,223,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,New,4,-14594.384398,-14586.884398,-14586.884398,-144.535735,3599.575718,3599.720829,2.102909,11.428994,1393.809921,1394.005504,20693,2394162,3600.000000,4,5,227,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,New,4,-33265.194167,-33257.610833,-33257.610833,-20207.568768,-15448.497733,-15448.497733,3.870465,16.543440,1180.323639,2353.193915,23513,3316334,3600.000000,4,14,222,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,New,4,-65826.832144,-65818.582144,-65822.165477,-52622.498074,-48522.520705,-48517.693267,2.047611,13.403756,726.320743,1119.450805,12816,1828994,3600.000000,4,7,221,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,New,4,-59482.802778,-59473.741111,-59473.807778,-45611.831444,-41821.373025,-41818.254171,3.219718,18.187529,132.228264,974.010041,15412,1405274,3600.000000,4,16,214,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,New,4,-27112.172866,-27053.589532,-27064.065894,-13030.730062,-8965.777740,-8965.232000,2.221797,12.366244,2245.286263,2245.302714,23887,2770124,3600.000000,4,14,230,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,New,4,-43321.576692,-43312.826692,-43317.410025,-29652.782112,-25428.132451,-25425.749000,1.928731,9.687396,429.239266,682.095130,15582,1657366,3600.000000,4,9,223,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,New,4,3277.976445,3285.476445,3285.476445,17377.335410,21907.695513,21909.845000,2.184695,8.347723,3280.909961,3296.945888,50787,6772855,3600.000000,4,4,235,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,New,4,-65906.448387,-65799.360887,-65896.280320,-50381.420599,-47004.890940,-47000.428067,1.429303,6.353367,274.272120,276.066202,9607,1017777,3600.000000,5,3,216,GUROBI,1,1,0,0,0,0,0,0,0,0,0
