instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,4,-17360.166667,-17360.166667,-17360.166667,-17041.800000,-17041.000000,-17041.000000,0.000003,0.504753,0.508373,0.510301,1,1895,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,4,-17353.000000,-17353.000000,-17353.000000,-17033.200000,-17033.000000,-17033.000000,0.000003,0.577305,0.580130,0.582010,1,1680,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,4,-17356.500000,-17356.500000,-17356.500000,-17037.120773,-17036.000000,-17036.000000,0.000002,0.560632,0.564271,0.566383,1,2030,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,4,-17364.500000,-17364.500000,-17364.500000,-17055.438202,-17045.000000,-17045.000000,0.000002,0.507746,0.511556,0.513542,1,1938,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,4,-17348.333333,-17348.333333,-17348.333333,-17037.307692,-17032.000000,-17032.000000,0.000003,0.504618,0.507398,0.509466,1,1821,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,4,-17358.666667,-17358.666667,-17358.666667,-17047.888889,-17037.000000,-17037.000000,0.000002,0.473906,0.481110,0.481368,1,1796,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,4,-17360.666667,-17360.666667,-17360.666667,-17044.710526,-17044.000000,-17044.000000,0.000003,0.544894,0.550866,0.551128,1,2033,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,4,-17356.666667,-17356.666667,-17356.666667,-17040.200000,-17040.000000,-17040.000000,0.000002,0.622890,0.625493,0.627412,1,2032,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,4,-17355.166667,-17355.166667,-17355.166667,-17045.634218,-17039.000000,-17039.000000,0.000002,0.591091,0.595693,0.597766,1,2022,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,4,-17359.500000,-17359.500000,-17359.500000,-17047.133333,-17041.000000,-17041.000000,0.000002,0.608511,0.612003,0.614119,1,2080,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,4,-17353.000000,-17353.000000,-17353.000000,-17050.503968,-17038.000000,-17038.000000,0.000002,0.487180,0.490486,0.492502,1,1754,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
