instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,954341.026667,954391.090159,954348.229054,972018.756827,987444.995464,988585.620000,1.614690,4.853426,3601.617161,3601.617458,883712,10641763,3600.000000,4,11,152,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Disjunction,4,-266583.237800,-266583.237800,-266583.237800,-204596.957608,-202870.945178,-202866.940000,0.206640,0.546430,0.573377,0.593981,27,1141,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
10,0,Disjunction,4,-1581109.690138,-1580908.843916,-1581109.690138,-1511768.027246,-1511718.700000,-1511718.700000,0.215704,0.497614,0.509583,0.512243,12,902,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
2,0,Disjunction,4,173564.605944,173685.197500,173564.605944,236783.302407,237097.293784,237099.950000,0.230855,0.584445,0.605167,0.610305,21,1219,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
3,0,Disjunction,4,91990.392886,92222.698442,91990.392886,159614.985800,160382.480000,160382.480000,0.184996,0.550200,0.603471,0.604841,33,1267,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
4,0,Disjunction,4,646118.772300,646144.252300,646118.772300,697581.056397,701013.710000,701013.710000,0.199006,0.640129,1.226734,1.226960,251,3063,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
5,0,Disjunction,4,-244523.679229,-244326.755784,-244523.679229,-170991.818242,-168555.930895,-168549.740000,0.201890,0.541240,0.578982,0.615704,39,1296,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
6,0,Disjunction,4,-403820.168454,-403592.509009,-403820.168454,-325814.546588,-324259.168629,-324255.020000,0.212350,0.443750,0.530005,0.531425,50,1130,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
7,0,Disjunction,4,324630.186986,324630.186986,324630.186986,388057.203847,390308.580000,390308.580000,0.221707,0.584507,0.713434,0.738950,84,1537,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
8,0,Disjunction,4,-85001.687139,-85001.687139,-85001.687139,-14750.589045,-14341.090000,-14341.090000,0.219679,0.547935,0.569485,0.575994,21,1069,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
9,0,Disjunction,4,129909.310750,129942.474028,129909.310750,190009.789494,190772.530275,190774.790000,0.228079,0.563254,0.591217,0.593182,18,1124,3600.000000,4,11,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
