instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,248.325000,248.325000,248.325000,3059.791097,3274.570000,3274.810000,0.000002,4.958216,165.818516,165.818944,2382,307789,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,234.598942,234.598942,234.598942,3059.636990,3271.722229,3271.810000,0.000003,5.395597,149.010995,149.011414,2096,280627,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,227.489793,227.489793,227.489793,3054.147335,3274.508514,3274.810000,0.000003,4.506092,174.757475,190.654862,2613,331173,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,212.356715,212.356715,212.356715,3052.802102,3263.810000,3263.810000,0.000002,4.697038,131.412567,131.412964,1627,218301,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,233.716181,233.716181,233.716181,3033.324540,3278.491128,3278.810000,0.000002,4.478241,202.542081,202.542511,3064,363850,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,234.882342,234.882342,234.882342,3062.882150,3276.810000,3276.810000,0.000003,4.591189,66.247945,121.760245,1313,190113,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,233.899811,233.899811,233.899811,3041.672975,3277.596152,3277.810000,0.000004,4.640620,152.173919,178.407592,2339,324959,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,234.956094,234.956094,234.956094,3042.348869,3268.810000,3268.810000,0.000003,4.220142,96.692739,132.356105,1658,223570,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,223.651004,223.651004,223.651004,3065.194251,3265.693869,3265.810000,0.000002,4.313082,149.585117,149.585548,2024,254292,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,241.825000,241.825000,241.825000,3061.207272,3274.490922,3274.809834,0.000004,5.300616,293.687443,293.687853,4501,525304,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,235.422516,235.422516,235.422516,3065.302606,3280.481929,3280.810000,0.000003,4.703165,165.648185,185.286066,2712,365441,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
