instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,13.000000,13.750000,13.750000,13.750000,14.999203,15.000000,3.411326,3.531074,5.841996,334.653586,177467,2953934,3600.000000,64,1,35,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,13.000000,13.750000,13.750000,13.750000,14.998656,15.000000,0.133456,0.275658,2.332738,515.040718,270799,4469776,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
10,0,NoDisjunction,64,12.968750,13.687500,13.687500,13.687500,14.936170,14.937500,0.179098,0.288006,2.795995,983.312282,465143,8343307,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
2,0,NoDisjunction,64,13.000000,13.750000,13.750000,13.750000,14.999393,15.000000,0.161697,0.273577,267.284435,377.332934,179295,3196201,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
3,0,NoDisjunction,64,13.031250,13.750000,13.750000,13.750000,14.998641,15.000000,0.150931,0.290401,3.907189,683.988727,399761,6469223,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
4,0,NoDisjunction,64,13.031250,13.750000,13.750000,13.750000,14.998590,15.000000,0.156276,0.266258,74.298331,320.685135,171831,2931975,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
5,0,NoDisjunction,64,12.968750,13.687500,13.687500,13.687500,14.936121,14.937500,0.158936,0.280075,0.340964,496.567654,235955,4356037,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
6,0,NoDisjunction,64,13.015625,13.750000,13.750000,13.750000,14.998547,15.000000,0.148973,0.269667,3.020744,1192.832875,592023,10244900,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
7,0,NoDisjunction,64,13.031250,13.750000,13.750000,13.750000,14.998590,15.000000,0.154139,0.264324,74.240578,320.099576,171831,2931975,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
8,0,NoDisjunction,64,13.031250,13.750000,13.750000,13.750000,14.998864,15.000000,0.163086,0.300359,0.559216,600.994164,307273,5169034,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
9,0,NoDisjunction,64,13.031250,13.750000,13.750000,13.750000,14.998980,15.000000,0.145177,0.259129,2.533879,511.027943,275077,4529110,3600.000000,64,1,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
