instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,11115.630502,11118.340593,11118.340593,12738.442229,12889.000000,12890.000000,1.805115,5.761822,10.150647,10.151008,575,27325,3600.000000,4,8,195,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Basis,4,11710.326285,11713.268535,11713.268535,13350.730365,13640.761342,13640.999982,0.155332,3.416447,75.457107,75.474514,4811,238867,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
10,0,Basis,4,10550.385495,10553.017598,10553.017598,11928.381544,12096.000000,12096.000000,0.191114,4.240060,23.226400,23.226735,625,30992,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
2,0,Basis,4,11197.492297,11199.669030,11199.669030,12816.849198,13051.999998,13051.999998,0.176809,4.303181,36.834001,36.834342,959,54304,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
3,0,Basis,4,11087.873784,11089.221351,11089.221351,12544.235471,12662.916330,12663.999992,0.200099,4.015176,27.741612,27.741983,789,36164,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
4,0,Basis,4,10950.086189,10952.750500,10952.750500,12356.164627,12649.158624,12649.999887,0.182186,3.526532,36.807596,36.808024,1646,80314,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
5,0,Basis,4,12200.152049,12200.566284,12200.158674,13618.259132,13751.000000,13751.000000,0.167591,2.904023,25.618193,25.618534,1056,53296,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
6,0,Basis,4,10439.476138,10443.337876,10443.337876,11889.045748,11979.370899,11980.000000,0.164198,2.787754,22.944392,23.971883,1326,55902,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
7,0,Basis,4,11082.063917,11091.510725,11090.585109,12593.397662,12776.691293,12777.000000,0.187333,2.807810,31.433505,31.433855,1345,69102,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
8,0,Basis,4,11233.378298,11237.529475,11237.529475,12510.758873,12766.094769,12766.999998,0.193090,3.273934,21.441290,22.277014,614,37787,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
9,0,Basis,4,11847.052957,11850.210075,11850.210075,13352.524809,13480.000000,13480.000000,0.231651,3.206832,14.279854,14.507859,605,28843,3600.000000,4,8,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
