instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,0.000000,0.000000,0.000000,1215.000000,1224.000000,1224.000000,0.000030,0.469868,0.000030,0.473162,1,1694,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,-4.500000,-4.500000,-4.500000,1191.333333,1214.000000,1214.000000,0.000002,0.328265,0.000002,0.331070,1,1471,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,0.500000,0.500000,0.500000,1195.750000,1224.000000,1224.000000,0.000002,0.298786,0.000002,0.301647,1,1396,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,0.500000,0.500000,0.500000,1202.196970,1219.000000,1219.000000,0.000002,0.393078,0.000002,0.398489,1,1779,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,-4.000000,-4.000000,-4.000000,1137.711538,1202.000000,1202.000000,0.000003,0.414513,0.000003,0.424449,1,1804,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,2.000000,2.000000,2.000000,1211.666667,1213.000000,1213.000000,0.000002,0.312330,0.000002,0.313978,1,1429,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,-0.500000,-0.500000,-0.500000,1224.000000,1225.000000,1225.000000,0.000002,0.396351,0.000002,0.399507,1,1593,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,0.000000,0.000000,0.000000,1205.555556,1211.000000,1211.000000,0.000002,0.381641,0.000002,0.384571,1,1775,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,-3.000000,-3.000000,-3.000000,1216.346154,1218.000000,1218.000000,0.000002,0.377131,0.000002,0.379837,1,1676,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,-4.500000,-4.500000,-4.500000,1193.500000,1218.000000,1218.000000,0.000002,0.418671,0.000002,0.425055,1,1757,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,2.000000,2.000000,2.000000,1214.190476,1223.000000,1223.000000,0.000003,0.393632,0.441192,0.441753,26,2183,3600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
