instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,0.000000,0.000000,0.000000,0.000000,28289.000000,28290.000000,0.351827,0.461235,14.741373,14.741444,12051,100461,3600.000000,4,9,24,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Basis,4,-0.062500,-0.062500,-0.062500,-0.062500,28289.875000,28289.937500,0.010435,0.237294,8.997752,9.345714,11463,80599,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
10,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28288.000000,28290.000000,0.009474,0.231932,2.142702,4.059332,3332,28087,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
2,0,Basis,4,-0.059704,-0.059704,-0.059704,0.000000,28289.937500,28290.000000,0.007220,0.228747,15.372481,15.647238,15296,95028,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
3,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28287.875000,28290.000000,0.009661,0.195858,6.962498,9.473428,11958,88138,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
4,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28288.135593,28290.000000,0.009359,0.196143,13.491024,13.974313,15682,102540,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
5,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28288.250000,28290.000000,0.006324,0.195697,4.919281,5.051652,3994,37674,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
6,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28287.758173,28290.000000,0.008588,0.320348,2.784481,8.810864,11324,83041,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
7,0,Basis,4,0.000000,0.000000,0.000000,0.000000,28289.187500,28290.125000,0.010166,0.221414,16.244759,16.780235,15658,105469,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
8,0,Basis,4,-0.060252,-0.060252,-0.060252,0.000000,28290.000000,28290.000000,0.011839,0.152421,3.072589,3.235284,4068,29040,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
9,0,Basis,4,-0.060190,-0.060190,-0.060190,0.000000,28290.000000,28290.000000,0.014304,0.338610,16.874471,16.950480,11458,88680,3600.000000,4,9,0,GUROBI,1,0,0,0,0,0,0,0,0,0,1
